Title,Release_year,Duration,Duration_in_minutes,Rating,Content_rating,No_of_votes,No_of_votes_numeric
The Shawshank Redemption,1994,2h 22m,142,9.3,R, 3M,3000000
The Godfather,1972,2h 55m,175,9.2,R, 2.1M,2100000
The Dark Knight,2008,2h 32m,152,9,PG-13, 3M,3000000
The Godfather Part II,1974,3h 22m,202,9,R, 1.4M,1400000
12 Angry Men,1957,1h 36m,96,9,Approved, 898K,898000
The Lord of the Rings: The Return of the King,2003,3h 21m,201,9,PG-13, 2M,2000000
Schindler's List,1993,3h 15m,195,9,R, 1.5M,1500000
Pulp Fiction,1994,2h 34m,154,8.9,R, 2.3M,2300000
The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,178,8.9,PG-13, 2.1M,2100000
"The Good, the Bad and the Ugly",1966,2h 58m,178,8.8,R, 834K,834000
Forrest Gump,1994,2h 22m,142,8.8,PG-13, 2.3M,2300000
The Lord of the Rings: The Two Towers,2002,2h 59m,179,8.8,PG-13, 1.8M,1800000
Fight Club,1999,2h 19m,139,8.8,R, 2.4M,2400000
Inception,2010,2h 28m,148,8.8,PG-13, 2.6M,2600000
Star Wars: Episode V - The Empire Strikes Back,1980,2h 4m,124,8.7,PG, 1.4M,1400000
The Matrix,1999,2h 16m,136,8.7,R, 2.1M,2100000
Goodfellas,1990,2h 25m,145,8.7,R, 1.3M,1300000
One Flew Over the Cuckoo's Nest,1975,2h 13m,133,8.7,R, 1.1M,1100000
Interstellar,2014,2h 49m,169,8.7,PG-13, 2.2M,2200000
Se7en,1995,2h 7m,127,8.6,R, 1.9M,1900000
It's a Wonderful Life,1946,2h 10m,130,8.6,PG, 512K,512000
Seven Samurai,1954,3h 27m,207,8.6,Not Rated, 377K,377000
The Silence of the Lambs,1991,1h 58m,118,8.6,R, 1.6M,1600000
Saving Private Ryan,1998,2h 49m,169,8.6,R, 1.5M,1500000
City of God,2002,2h 10m,130,8.6,R, 821K,821000
The Green Mile,1999,3h 9m,189,8.6,R, 1.5M,1500000
Life Is Beautiful,1997,1h 56m,116,8.6,PG-13, 762K,762000
Terminator 2: Judgment Day,1991,2h 17m,137,8.6,R, 1.2M,1200000
Star Wars: Episode IV - A New Hope,1977,2h 1m,121,8.6,PG, 1.5M,1500000
Back to the Future,1985,1h 56m,116,8.5,PG, 1.3M,1300000
Spirited Away,2001,2h 4m,124,8.6,PG, 883K,883000
The Pianist,2002,2h 30m,150,8.5,R, 943K,943000
Parasite,2019,2h 12m,132,8.5,R, 1M,1000000
Gladiator,2000,2h 35m,155,8.5,R, 1.7M,1700000
Psycho,1960,1h 49m,109,8.5,R, 739K,739000
The Lion King,1994,1h 28m,88,8.5,G, 1.2M,1200000
The Departed,2006,2h 31m,151,8.5,R, 1.5M,1500000
Grave of the Fireflies,1988,1h 28m,88,8.5,Not Rated, 332K,332000
Whiplash,2014,1h 46m,106,8.5,R, 1M,1000000
Spider-Man: Across the Spider-Verse,2023,2h 20m,140,8.6,PG, 421K,421000
American History X,1998,1h 59m,119,8.5,R, 1.2M,1200000
The Prestige,2006,2h 10m,130,8.5,PG-13, 1.5M,1500000
Léon: The Professional,1994,1h 50m,110,8.5,R, 1.3M,1300000
Harakiri,1962,2h 13m,133,8.6,Not Rated, 75K,75000
Casablanca,1942,1h 42m,102,8.5,PG, 620K,620000
The Usual Suspects,1995,1h 46m,106,8.5,R, 1.2M,1200000
The Intouchables,2011,1h 52m,112,8.5,R, 956K,956000
Cinema Paradiso,1988,2h 54m,174,8.5,PG, 293K,293000
Dune: Part Two,2024,2h 46m,166,8.5,PG-13, 557K,557000
Modern Times,1936,1h 27m,87,8.5,G, 267K,267000
Alien,1979,1h 57m,117,8.5,R, 994K,994000
Rear Window,1954,1h 52m,112,8.5,PG, 536K,536000
Once Upon a Time in the West,1968,2h 46m,166,8.5,PG-13, 359K,359000
Django Unchained,2012,2h 45m,165,8.5,R, 1.7M,1700000
City Lights,1931,1h 27m,87,8.5,G, 202K,202000
Apocalypse Now,1979,2h 27m,147,8.4,R, 728K,728000
Memento,2000,1h 53m,113,8.4,R, 1.4M,1400000
WALL·E,2008,1h 38m,98,8.4,G, 1.2M,1200000
Raiders of the Lost Ark,1981,1h 55m,115,8.4,PG, 1.1M,1100000
The Lives of Others,2006,2h 17m,137,8.4,R, 420K,420000
12th Fail,2023,2h 27m,147,8.8,NA, 136K,136000
Avengers: Infinity War,2018,2h 29m,149,8.4,PG-13, 1.2M,1200000
