title,type,genres,releaseYear,imdbAverageRating,imdbNumVotes,availableCountries
Citizen Kane,movie,"Drama, Mystery",1941.0,8.3,475196.0,"AD, CA, ES, IN, JP"
Kill Bill: Vol. 1,movie,"Action, Crime, Thriller",2003.0,8.2,1226977.0,"AG, AR, BB, BM, BO, BR, BS, CL, CO, CR, DO, EC, ES, GT, HN, IN, IT, JM, LC, MX, PA, PE, PT, PY, SV, TC, TT, UY, VE"
Apocalypse Now,movie,"Drama, Mystery, War",1979.0,8.4,728914.0,"AD, AT, DE, ES, JP, PT"
Million Dollar Baby,movie,"Drama, Sport",2004.0,8.1,735539.0,"AD, AT, BR, DE, ES, GH, IN, IT, JP, KE, NG, NL, SM, UG, VA, ZA"
Billy Elliot,movie,"Drama, Music",2000.0,7.7,146297.0,"AD, ES, PT"
War of the Worlds,movie,"Action, Adventure, Sci-Fi",2005.0,6.5,484273.0,"AD, CU, ES, GB, GG, GI, IE, IN, JP, PT, SN, TZ"
Blade Runner,movie,"Action, Drama, Sci-Fi",1982.0,8.1,841142.0,"AD, ES, JP"
Indiana Jones and the Last Crusade,movie,"Action, Adventure",1989.0,8.2,826775.0,"AD, ES, FR, GB, GF, GG, GI, IE, JP, MC, PF, PT, US"
Gladiator,movie,"Action, Adventure, Drama",2000.0,8.5,1701483.0,"AD, AE, AG, AL, AO, AR, AT, AU, BA, BB, BE, BF, BG, BH, BM, BO, BR, BS, BZ, CD, CH, CI, CL, CM, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GF, GH, GR, GT, GY, HN, HR, HU, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KW, LB, LC, LT, LV, LY, MA, MC, MD, MG, MK, ML, MT, MW, MX, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PL, PS, PT, PY, QA, RO, RS, SA, SE, SI, SK, SN, SV, TC, TD, TN, TR, TT, TZ, UG, UY, VE, YE, ZA, ZM, ZW"
Back to the Future,movie,"Adventure, Comedy, Sci-Fi",1985.0,8.5,1348516.0,"AD, AE, AG, AL, AO, AR, AT, BA, BB, BE, BF, BG, BH, BM, BO, BR, BS, BZ, CA, CD, CH, CL, CM, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GF, GT, GY, HK, HN, HR, HU, ID, IL, IQ, IS, IT, JM, JO, KR, KW, LB, LC, LT, LV, LY, MA, MC, MD, MG, MK, ML, MT, MW, MX, MY, NI, NO, NZ, OM, PA, PE, PF, PH, PL, PS, PT, PY, QA, RO, RS, SA, SE, SG, SI, SK, SN, SV, TC, TD, TH, TN, TR, TT, TW, TZ, UY, VE, YE, ZW"
Match Point,movie,"Drama, Romance, Thriller",2005.0,7.6,231592.0,"AD, AR, BO, BR, BZ, CL, CO, CR, DO, EC, ES, GT, HN, MX, NI, PA, PE, PL, PY, SV, US, UY, VE"
Charlie and the Chocolate Factory,movie,"Adventure, Comedy, Family",2005.0,6.7,542742.0,"AD, BZ, ES, GY, IN, JP, NI"
The Lord of the Rings: The Fellowship of the Ring,movie,"Adventure, Drama, Fantasy",2001.0,8.9,2066540.0,"AD, AE, AG, AO, AR, AT, AU, BB, BE, BF, BG, BM, BO, BR, BS, BZ, CA, CD, CH, CI, CL, CM, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GF, GH, GR, GT, GY, HN, HU, ID, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LV, LY, MA, MC, MG, ML, MT, MW, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PL, PS, PT, PY, QA, RO, SA, SE, SG, SI, SK, SM, SV, TC, TD, TH, TN, TR, TT, TW, TZ, UG, UY, VA, VE, YE, ZA, ZM, ZW"
The Lord of the Rings: The Two Towers,movie,"Adventure, Drama, Fantasy",2002.0,8.8,1836826.0,"AD, AE, AG, AO, AR, AT, AU, BB, BE, BF, BG, BM, BO, BR, BS, BZ, CA, CD, CH, CI, CL, CM, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GF, GH, GR, GT, GY, HN, HU, ID, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LY, MA, MC, MG, ML, MT, MW, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PL, PS, PT, PY, QA, RO, SA, SE, SG, SI, SK, SM, SV, TC, TD, TH, TN, TR, TT, TW, TZ, UG, UY, VA, VE, YE, ZA, ZM, ZW"
The Lord of the Rings: The Return of the King,movie,"Adventure, Drama, Fantasy",2003.0,9.0,2037037.0,"AD, AE, AG, AO, AR, AT, AU, BB, BE, BF, BG, BM, BO, BR, BS, BZ, CA, CD, CH, CI, CL, CM, CO, CR, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GF, GH, GR, GT, GY, HN, HU, ID, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LV, LY, MA, MC, MG, ML, MT, MW, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PL, PS, PT, PY, QA, RO, SA, SE, SG, SI, SK, SM, SV, TC, TD, TH, TN, TR, TT, TW, TZ, UG, UY, VA, VE, YE, ZA, ZM, ZW"
Donnie Darko,movie,"Drama, Mystery, Sci-Fi",2001.0,8.0,869205.0,"AR, AT, BO, BR, BZ, CA, CL, CO, CR, DE, DO, EC, ES, GT, HN, IN, MX, NI, PA, PE, PY, SV, US, UY, VE"
Wings of Desire,movie,"Drama, Fantasy, Romance",1987.0,7.9,79541.0,"AT, DE, ES, JP"
