Const,Your Rating,Date Rated,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
tt0307901,7,2024-11-08,"La última noche","25th Hour",https://www.imdb.com/title/tt0307901,Película,7.6,135,2002,"Drama",186489,"2003-04-25","Spike Lee"
tt0106856,7,2024-09-13,"Un día de furia","Falling Down",https://www.imdb.com/title/tt0106856,Película,7.6,113,1993,"Crimen, Drama, Suspense",212954,"1993-05-28","Joel Schumacher"
tt4550098,7,2024-08-31,"Animales nocturnos","Nocturnal Animals",https://www.imdb.com/title/tt4550098,Película,7.4,116,2016,"Drama, Suspense",323273,"2016-12-02","Tom Ford"
tt14230458,7,2024-07-12,"Pobres criaturas","Poor Things",https://www.imdb.com/title/tt14230458,Película,7.8,141,2023,"Romance, Ciencia ficción, Comedia, Drama",316300,"2024-01-26","Yorgos Lanthimos"
tt2543164,9,2024-07-12,"La llegada","Arrival",https://www.imdb.com/title/tt2543164,Película,7.9,116,2016,"Ciencia ficción, Drama, Misterio",797583,"2016-11-18","Denis Villeneuve"
tt0144084,7,2024-07-12,"American Psycho","American Psycho",https://www.imdb.com/title/tt0144084,Película,7.6,102,2000,"Crimen, Terror, Drama",754888,"2000-09-29","Mary Harron"
tt0353969,8,2024-07-12,"Memories of Murder (Crónica de un asesino en serie)","Salinui chueok",https://www.imdb.com/title/tt0353969,Película,8.1,131,2003,"Misterio, Crimen, Drama, Suspense",229729,"2004-05-21","Bong Joon Ho"
tt17351924,7,2024-07-12,"Saltburn","Saltburn",https://www.imdb.com/title/tt17351924,Película,7.0,131,2023,"Suspense, Drama",232300,"2023-12-22","Emerald Fennell"
tt1136617,7,2024-07-12,"El asesino","The Killer",https://www.imdb.com/title/tt1136617,Película,6.7,118,2023,"Acción, Suspense, Crimen, Drama, Aventura",202390,"2023-11-10","David Fincher"
tt13274016,7,2024-07-12,"Reptiles","Reptile",https://www.imdb.com/title/tt13274016,Película,6.8,134,2023,"Suspense, Crimen, Drama, Misterio",98916,"2023-09-29","Grant Singer"
tt15398776,7,2023-11-02,"Oppenheimer","Oppenheimer",https://www.imdb.com/title/tt15398776,Película,8.3,180,2023,"Biografía, Drama, Historia",825633,"2023-07-20","Christopher Nolan"
tt10640346,7,2023-11-02,"Babylon","Babylon",https://www.imdb.com/title/tt10640346,Película,7.1,189,2022,"Drama, Comedia, Historia",183329,"2023-01-20","Damien Chazelle"
tt1570728,8,2023-10-28,"Crazy, Stupid, Love.","Crazy, Stupid, Love.",https://www.imdb.com/title/tt1570728,Película,7.4,118,2011,"Comedia, Romance, Drama",580429,"2011-10-07","Glenn Ficarra,John Requa"
tt1345836,8,2023-10-28,"El caballero oscuro: La leyenda renace","The Dark Knight Rises",https://www.imdb.com/title/tt1345836,Película,8.4,164,2012,"Acción, Drama, Suspense",1878739,"2012-07-20","Christopher Nolan"
tt2066051,8,2023-09-29,"Rocketman","Rocketman",https://www.imdb.com/title/tt2066051,Película,7.3,121,2019,"Musical, Biografía, Drama, Música",200317,"2019-05-31","Dexter Fletcher"
tt0278504,8,2023-09-29,"Insomnio","Insomnia",https://www.imdb.com/title/tt0278504,Película,7.2,118,2002,"Misterio, Drama, Suspense",325481,"2002-10-11","Christopher Nolan"
tt0372784,7,2023-09-29,"Batman Begins","Batman Begins",https://www.imdb.com/title/tt0372784,Película,8.2,140,2005,"Acción, Drama",1618179,"2005-06-17","Christopher Nolan"
tt0758752,7,2023-09-29,"Amor y otras drogas","Love & Other Drugs",https://www.imdb.com/title/tt0758752,Película,6.7,112,2010,"Drama, Comedia, Romance",231209,"2011-01-14","Edward Zwick"
tt12477480,8,2023-09-12,"Decision to Leave","Heojil kyolshim",https://www.imdb.com/title/tt12477480,Película,7.3,139,2022,"Drama, Crimen, Misterio, Romance, Suspense",59348,"2023-01-20","Park Chan-wook"
tt7984734,7,2023-09-12,"El faro","The Lighthouse",https://www.imdb.com/title/tt7984734,Película,7.4,109,2019,"Drama, Fantasía, Misterio, Suspense, Terror",269555,"2020-01-10","Robert Eggers"
tt5715874,7,2023-09-12,"El sacrificio de un ciervo sagrado","The Killing of a Sacred Deer",https://www.imdb.com/title/tt5715874,Película,7.0,121,2017,"Drama, Misterio, Suspense, Terror",198557,"2017-12-01","Yorgos Lanthimos"
tt3890160,6,2023-08-30,"Baby Driver","Baby Driver",https://www.imdb.com/title/tt3890160,Película,7.5,113,2017,"Acción, Música, Crimen, Drama",634715,"2017-07-07","Edgar Wright"
tt0765010,6,2023-08-30,"Brothers (Hermanos)","Brothers",https://www.imdb.com/title/tt0765010,Película,7.1,105,2009,"Drama, Bélico, Suspense",155629,"2010-03-18","Jim Sheridan"
tt5362988,7,2023-08-30,"Wind River","Wind River",https://www.imdb.com/title/tt5362988,Película,7.7,107,2017,"Suspense, Crimen, Misterio, Drama, Del oeste",289657,"2017-08-18","Taylor Sheridan"
tt2866360,8,2023-08-22,"Coherence","Coherence",https://www.imdb.com/title/tt2866360,Película,7.2,89,2013,"Ciencia ficción, Suspense, Misterio, Terror",154158,"2015-02-18","James Ward Byrkit"
tt0416320,8,2023-08-19,"Match Point","Match Point",https://www.imdb.com/title/tt0416320,Película,7.6,124,2005,"Drama, Romance, Suspense",231597,"2005-11-04","Woody Allen"
tt0497465,7,2023-08-19,"Vicky Cristina Barcelona","Vicky Cristina Barcelona",https://www.imdb.com/title/tt0497465,Película,7.1,96,2008,"Drama, Romance, Comedia",272460,"2008-09-19","Woody Allen"
tt7131622,7,2023-08-15,"Érase una vez en... Hollywood","Once Upon a Time in... Hollywood",https://www.imdb.com/title/tt7131622,Película,7.6,161,2019,"Drama, Comedia",881654,"2019-08-15","Quentin Tarantino"
tt1392214,9,2023-08-15,"Prisioneros","Prisoners",https://www.imdb.com/title/tt1392214,Película,8.2,153,2013,"Crimen, Drama, Suspense, Misterio",845030,"2013-10-11","Denis Villeneuve"
tt1032755,8,2023-08-10,"RocknRolla","RocknRolla",https://www.imdb.com/title/tt1032755,Película,7.2,114,2008,"Acción, Crimen, Suspense",268392,"2009-01-01","Guy Ritchie"
tt2872718,7,2023-08-03,"Nightcrawler","Nightcrawler",https://www.imdb.com/title/tt2872718,Película,7.8,117,2014,"Crimen, Suspense, Drama",623669,"2015-01-30","Dan Gilroy"
tt0103791,6,2023-08-02,"Belle Epoque","Belle Epoque",https://www.imdb.com/title/tt0103791,Película,7.1,109,1992,"Drama, Romance, Comedia",11605,"1992-12-04","Fernando Trueba"
tt9764362,7,2023-07-23,"El menú","The Menu",https://www.imdb.com/title/tt9764362,Película,7.2,107,2022,"Terror, Suspense, Comedia",427267,"2022-12-02","Mark Mylod"
tt3464902,7,2023-07-21,"Langosta","The Lobster",https://www.imdb.com/title/tt3464902,Película,7.1,119,2015,"Romance, Ciencia ficción, Drama, Suspense",310978,"2015-12-04","Yorgos Lanthimos"
tt7322224,6,2023-07-21,"El triángulo de la tristeza","Triangle of Sadness",https://www.imdb.com/title/tt7322224,Película,7.3,147,2022,"Drama, Comedia",192826,"2023-02-17","Ruben Östlund"
tt13833688,8,2023-07-21,"La ballena (The Whale)","The Whale",https://www.imdb.com/title/tt13833688,Película,7.6,117,2022,"Drama",231703,"2023-01-27","Darren Aronofsky"
tt2562232,9,2023-06-01,"Birdman o (La inesperada virtud de la ignorancia)","Birdman or (The Unexpected Virtue of Ignorance)",https://www.imdb.com/title/tt2562232,Película,7.7,119,2014,"Comedia, Drama",676423,"2015-01-09","Alejandro G. Iñárritu"
tt1189073,8,2023-03-20,"La piel que habito","La piel que habito",https://www.imdb.com/title/tt1189073,Película,7.6,120,2011,"Suspense, Drama, Misterio",171001,"2011-09-02","Pedro Almodóvar"
tt0369702,8,2023-03-20,"Mar adentro","Mar adentro",https://www.imdb.com/title/tt0369702,Película,8.0,126,2004,"Drama, Biografía",86292,"2004-09-03","Alejandro Amenábar"
tt1931533,7,2023-03-15,"Siete psicópatas","Seven Psychopaths",https://www.imdb.com/title/tt1931533,Película,7.1,110,2012,"Comedia, Crimen",278191,"2013-02-22","Martin McDonagh"
tt0181689,7,2023-03-03,"Minority Report","Minority Report",https://www.imdb.com/title/tt0181689,Película,7.6,145,2002,"Crimen, Ciencia ficción, Misterio, Suspense, Acción",595177,"2002-10-04","Steven Spielberg"
tt0120669,7,2023-03-03,"Miedo y asco en Las Vegas","Fear and Loathing in Las Vegas",https://www.imdb.com/title/tt0120669,Película,7.5,118,1998,"Aventura, Drama, Comedia",307006,"1999-04-23","Terry Gilliam"
tt0246578,7,2023-03-03,"Donnie Darko","Donnie Darko",https://www.imdb.com/title/tt0246578,Película,8.0,113,2001,"Ciencia ficción, Suspense, Misterio, Drama",869227,"2002-07-05","Richard Kelly"
tt0114746,8,2023-03-03,"12 monos","Twelve Monkeys",https://www.imdb.com/title/tt0114746,Película,8.0,129,1995,"Misterio, Ciencia ficción, Suspense",657419,"1996-03-21","Terry Gilliam"
tt0470752,7,2023-03-03,"Ex_Machina","Ex Machina",https://www.imdb.com/title/tt0470752,Película,7.7,108,2014,"Drama, Ciencia ficción, Suspense",608037,"2015-02-27","Alex Garland"
tt0319061,7,2023-02-28,"Big Fish","Big Fish",https://www.imdb.com/title/tt0319061,Película,8.0,125,2003,"Fantasía, Aventura, Romance, Drama",465231,"2004-03-05","Tim Burton"
tt0780536,8,2023-02-27,"Escondidos en Brujas","In Bruges",https://www.imdb.com/title/tt0780536,Película,7.9,107,2008,"Crimen, Drama, Comedia, Suspense",472103,"2008-07-18","Martin McDonagh"
tt11813216,8,2023-02-27,"Almas en pena de Inisherin","The Banshees of Inisherin",https://www.imdb.com/title/tt11813216,Película,7.7,114,2022,"Drama, Comedia",269015,"2023-02-03","Martin McDonagh"
tt6710474,8,2023-02-27,"Todo a la vez en todas partes","Everything Everywhere All at Once",https://www.imdb.com/title/tt6710474,Película,7.8,139,2022,"Ciencia ficción, Aventura, Comedia, Fantasía, Acción",561311,"2022-06-03","Daniel Kwan,Daniel Scheinert"
