title,type,genres,releaseYear,imdbAverageRating,imdbNumVotes,availableCountries
Jarhead,movie,"Biography, Drama, War",2005.0,7.0,212517.0,"AD, AE, AG, AO, BH, BM, BR, BS, BZ, CI, CM, CO, CR, CU, CV, DK, DO, DZ, EC, EG, ES, GF, GH, GT, HK, HN, ID, IL, IQ, IS, JM, KE, KW, LB, LC, LY, MA, MC, MG, ML, MU, MX, MY, MZ, NG, NO, NZ, PA, PE, PF, PS, PY, QA, SA, SC, SE, SG, SN, SV, TC, TH, TR, TW, TZ, US, UY, VE, ZA, ZM, ZW"
Eternal Sunshine of the Spotless Mind,movie,"Drama, Romance, Sci-Fi",2004.0,8.3,1111601.0,"AD, AE, AG, AL, AO, AR, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UA, UG, US, UY, VE, YE, ZA, ZM, ZW"
A History of Violence,movie,"Action, Crime, Drama",2005.0,7.4,260013.0,"AD, AU, CA, ES, GB, GG, IE, NZ, PT"
Talk to Her,movie,"Drama, Mystery, Romance",2002.0,7.9,118970.0,"AG, AR, BB, BO, BR, BZ, CL, CO, CR, CU, DO, EC, ES, GF, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
American History X,movie,"Crime, Drama",1998.0,8.5,1213274.0,"AD, ES, PT"
Nausicaä of the Valley of the Wind,movie,"Adventure, Animation, Sci-Fi",1984.0,8.0,187515.0,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UA, UG, UY, VE, YE, ZA, ZM, ZW"
All About My Mother,movie,"Comedy, Drama, Romance",1999.0,7.8,105102.0,ES
Charlie and the Chocolate Factory,movie,"Adventure, Comedy, Family",2005.0,6.7,542742.0,"AD, AT, BE, CH, DE, ES, FJ, FR, GF, HK, ID, IN, IT, JP, KR, LI, LU, MC, MY, PF, PH, PK, PT, SG, SM, TH, TW"
Princess Mononoke,movie,"Adventure, Animation, Fantasy",1997.0,8.3,448779.0,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UA, UG, UY, VE, YE, ZA, ZM, ZW"
Spirited Away,movie,"Adventure, Animation, Family",2001.0,8.6,884639.0,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UA, UG, UY, VE, YE, ZA, ZM, ZW"
Bad Education,movie,"Crime, Drama",2004.0,7.4,64314.0,"AG, AR, BB, BO, BR, BZ, CL, CO, CR, CU, DO, EC, ES, GF, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
The Dark Knight,movie,"Action, Crime, Drama",2008.0,9.0,2957387.0,"AD, AT, AU, BA, BG, CH, CZ, DE, DK, ES, FI, HR, HU, IT, JP, KR, LI, LU, MD, ME, MK, NO, NZ, PL, PT, RO, RS, SE, SI, SK, SM"
